address	name	impl_file	reimpl_pct	comment
0x00401000	Ship_UpdateShipAI	src/game/ship_ai.cpp	80%	gameplay,cadence,divergence
0x00401800	Ship_ScanPlayerForContraband	src/game/government.cpp	100%	
0x00402810	Ship_ResetShipAiBehaviorRuntimeFields	src/game/ship_ai.cpp	100%	
0x00402860	Ship_UpdateShipAiBehavior0x01_WimpyTrader	src/game/ship_ai_behaviors.cpp	90%	verify
0x00402980	Ship_UpdateShipAiAsteroidMinerBehavior	src/game/ship_ai_behaviors.cpp	92%	gameplay
0x00402BD0	Ship_UpdateShipAiBehavior0x02_BraveTrader	src/game/ship_ai_behaviors.cpp	75%	gameplay,audio
0x00402E50	Ship_UpdateShipAiBehavior0x03_Warship	src/game/ship_ai_behaviors.cpp	90%	verify
0x004038B0	Ship_UpdateShipAiBehavior0x03_WarshipCapture	src/game/ship_ai_behaviors.cpp	90%	verify
0x00403DE0	Ship_UpdateShipAiBehavior0x04_Interceptor	src/game/ship_ai_behaviors.cpp	100%	license
0x004048A0	Ship_UpdateEscortAI	src/game/ship_ai.cpp	70%	audio
0x00405120	Ship_DefenseFleetPrioritizePlayerThreat	src/game/ship_ai_behaviors.cpp	100%	moddata
0x004053C0	Mission_UpdateShipMissionStellarAttackDirective	src/game/ship_ai.cpp	100%	
0x00405590	Ship_UpdateShipAiState	src/game/ship_ai_state.cpp	70%	gameplay,ui,license,verify
0x00408150	Ship_ApplyShipAiControls	src/game/ship_ai_controls.cpp	93%	gameplay
0x0040C790	Stellar_SelectRandomAdjacentTravelStellar	src/game/ship_ai_behaviors.cpp	100%	moddata
0x0040CC10	Stellar_FindNearestAdjacentTravelStellar	src/game/ship_ai_behaviors.cpp	100%	
0x0040CD80	Stellar_IsStellarAdjacentToCurrentSystem	src/game/targeting.cpp	100%	
0x0040CE00	Weapon_FireTurretAtTarget	src/game/ship_ai_weapons.cpp	100%	
0x0040D220	Weapon_SelectGuidedWeaponBankForPrimaryTarget	src/game/ship_ai_weapons.cpp	100%	moddata
0x0040D470	Weapon_SelectDirectFireWeaponBankForPrimaryTarget	src/game/ship_ai_weapons.cpp	100%	moddata
0x0040D7E0	Weapon_SelectUnguidedWeaponBank	src/game/ship_ai_weapons.cpp	100%	
0x0040D910	Weapon_SelectGeneralWeaponBank	src/game/ship_ai_weapons.cpp	100%	
0x0040D9A0	Ship_LaunchShipFromCarrierBay	src/game/ship_spawn.cpp	100%	
0x0040DB70	NovaUi_DrawAiStateMnemonic		0%	
0x0040DDC0	NovaUi_DrawAiControlModeMnemonic		0%	
0x0040E020	Ship_AcquirePrimaryTargetForShip	src/game/ship_ai_behaviors.cpp	95%	license
0x0040F6D0	Ship_IsThreatToPlayerSquad	src/game/targeting.cpp	100%	
0x0040F780	Ship_ShouldShipKeepPressingTarget	src/game/ship_ai.cpp	100%	
0x0040FAA0	Ship_IsShipAcquirableAsTarget	src/game/targeting.cpp	100%	
0x0040FC00	Ship_IsThreatened	src/game/ship_ai.cpp	100%	
0x0040FCA0	Ship_IsShipAssistingPlayerInAiState0x09	src/game/ship_ai.cpp	100%	
0x0040FCE0	Ship_IsShipAssistingPlayerInAiState0x0F	src/game/ship_ai.cpp	100%	
0x0040FD20	Ship_DoesShipLikePlayer	src/game/government.cpp	100%	
0x00410060	Ship_IsAnyShipThreatToPlayerSquad	src/game/ship_ai.cpp	100%	
0x004100A0	Ship_IsPlayerThreatenedByEnemyOfShip	src/game/ship_ai.cpp	100%	
0x00410110	Ship_IsThreatenedByEnemyOfShip	src/game/ship_ai.cpp	100%	
