address	name	library	comment
0x0046E8B0	NovaRender_ReleaseMainWindowOwnerGuarded	blitter	Platform render-owner release wrapper: callers pass NovaRender_GetMainWindowOwner; the wrapped release target NovaRender_ReleaseWindowOwnerStub is a bare return in this build. SDL rendering owns no corresponding handle.
0x004AB9D4	NovaUi_InitializeFlightViewSurfaces	blitter	Deliberate SDL replacement: the QuickDraw/SpriteWorld gameplay surface, 14 ordered SpriteLayer objects, beam layer callbacks, target-FPS setup, and 8/16-bit-depth validation are replaced by the RAII SpaceflightView created on flight entry (src/game/spaceflight.cpp) and its explicit Draw ordering (src/game/spaceflight_view.cpp). The 14-layer chain (ambient stars -> stellars -> asteroids -> disabled ships -> freeflight+fading -> smoke puffs -> shots -> escort ships -> ships -> shots -> impacts -> beams) is decoded and documented in docs/ship_sprite_rendering_path.md; the disabled/escort/normal ship sub-layers are now reproduced in the fixed draw sequence (DrawShipsInLayer), and all four shot containers keep their original layer order: mode9 -> mode1 -> default on layers 7-9, then mode4_alt (weapon mode 4 + owner Flags3 0x0040) on layer 12 (DrawShots(ShotDrawLayer)); the named Ghidra layer globals are g_ambient_star_particle_sprite_layer, g_stellar_sprite_layer, g_asteroid_sprite_layer, g_disabled_ship_sprite_layer, g_freeflight_and_fading_effect_sprite_layer, g_weapon_smoke_puff_sprite_layer, g_shot_container_*, g_escort_ship_sprite_layer, g_ship_sprite_layer, g_impact_effect_sprite_layer, g_beam_sprite_layer. The route-map offscreen frame is replaced by direct RouteMapView drawing; RouteMap_OverlayRect preserves the original top-left square geometry and min-200 side. Its SpriteWorld_InitializeFlightViewSpritePools child remains in progress for separate pool-lifecycle audit.
0x004B0C20	Ship_InitGameplayDataTables	redundant	The original bulk-clears fixed-capacity storage that the port represents with value-initialized GameState arrays/vectors and ScenarioData tables; active ship slots are reset by NovaShip_AllocateShipSlot. Its meaningful mission-offering RNG seed is reproduced by Mission_RerollOfferingRolls in the session bootstrap (and fresh-pilot flow). The original Geneva-9/font globals have no port equivalent: NovaFontCache resolves and loads Geneva lazily per UI owner. Remaining QuickDraw-only pool sentinels and startup UI globals are either unobservable in the port or represented by SDL/runtime defaults.
0x004BC310	NovaGameSession_BuildStartupCurveTable	blitter	Builds the 32-entry per-channel 5-bit render lookup table (g_render_brightness_lut, formerly DAT_0085faee) used only by the original 16bpp software blitters: DrawContext_FillRect16 (0x004b6a10), DrawContext_FrameRect16WithCurrentColor (0x004b6ef0), DrawContext_DrawCircleInRect (0x004ba350), FUN_004bb260, SpriteRleCommandStream_ByteSwap (0x00472000), and Resource_LoadPictAsImageWithColorRemap (0x004b8ed0). Entry i = clamp(round((i/31)^(100/param)*31 + 0.5), 0, 31), a gamma-like curve with param = 66.0 + 10.0*brightness (0..6) supplied by NovaGameSession_Run (0x00416100). SDL3 rendering replaces those blitters and the port never consults the table; marker at src/nova_app.cpp NovaGameSession_Run. Divergence: prefs.brightness stays load/save/UI-only and does not alter rendering (no SDL brightness pass).
0x004AD7C0	Settings_InitColors	redundant	Original Mac symbol _InitColors. Write-once seed of the fixed RGBColor palette (DAT_00733b2c..00733b79); every other reference in the image is a read, so the values are compile-time constants and the SDL port bakes the same 16-bit triples at the draw sites (src/game/radar_panel.cpp, src/game/starmap.cpp, src/game/docked_trade_dialog.cpp, src/game/docked_mission_dialog.cpp, src/game/preferences.cpp) instead of modelling the globals. Slot 5 (DAT_00733b4a, default ship tint) is not written here and remains tracked by the outfit-paint TODO (src/game/outfit.cpp).
0x004D61A0	MWRuntime_FUN_004d61a0	msl-crt	MSL ctype alpha-bit test (table bit 0x0001); the store name tint uses std::isalnum instead (0x00490C70 / 0x004948B0).
0x004D61D0	MWRuntime_FUN_004d61d0	msl-crt	MSL ctype digit-bit test (table bit 0x0008); the store name tint uses std::isalnum instead (0x00490C70 / 0x004948B0).
0x004D6260	NovaCommand_TranslateByInputMap	redundant	Per-thread bound-key -> command-token table lookup (byte range only) used by the credits label's first-character highlight quirk (NovaUi_DrawCargoMissionStatusPanel) and the same-named 0x004d6230 sibling. The port draws the literal label character and resolves gameplay commands directly through the persisted binding table (src/game/spaceflight.cpp), so the highlight indirection has no runtime call. NOTE: the port's main-menu token mapper was previously misattributed here; it is NovaCommand_DispatchToMode (0x004872a0) in src/nova_app.cpp.
0x004DD37E	FUN_004dd37e	blitter	
0x004DD489	FUN_004dd489	blitter	
0x004DD594	FUN_004dd594	blitter	
0x004DD6B4	FUN_004dd6b4	blitter	
0x004DD7BD	FUN_004dd7bd	blitter	
0x004DDA76	FUN_004dda76	blitter	
0x004DDE59	FUN_004dde59	blitter	
0x004DE038	BlitPixel_AlphaBlend555Span	blitter	
0x004DE233	FUN_004de233	blitter	
0x004DE429	FUN_004de429	blitter	
0x004DE603	FUN_004de603	blitter	
0x004DE7C7	FUN_004de7c7	blitter	
0x004DEC1B	FUN_004dec1b	blitter	
0x004DF096	FUN_004df096	blitter	
0x004DF4BD	FUN_004df4bd	blitter	
0x004DF955	FUN_004df955	blitter	
0x004DFE0D	FUN_004dfe0d	blitter	
0x004E006B	FUN_004e006b	blitter	
0x004E0326	FUN_004e0326	blitter	
0x004E05F5	FUN_004e05f5	blitter	
0x004E09F8	FUN_004e09f8	blitter	
0x004E0E6C	FUN_004e0e6c	blitter	
0x004E1307	FUN_004e1307	blitter	
0x004E174C	FUN_004e174c	blitter	
0x004E1C02	FUN_004e1c02	blitter	
0x004E20D8	FUN_004e20d8	blitter	
0x004E2356	FUN_004e2356	blitter	
0x004E2631	FUN_004e2631	blitter	
0x004E2920	FUN_004e2920	blitter	
0x004E2CF8	FUN_004e2cf8	blitter	
0x004E3141	FUN_004e3141	blitter	
0x004E35AD	FUN_004e35ad	blitter	
0x004E39AA	FUN_004e39aa	blitter	
0x004E3E1B	FUN_004e3e1b	blitter	
