address,name,impl_file,reimpl_pct,comment
0x00401000,Ship_UpdateShipAI,,0%,
0x00401800,Government_HandlePlayerFactionExtortion,,0%,
0x00402810,Ship_ResetShipAiBehaviorRuntimeFields,,0%,
0x00402860,Ship_UpdateShipAiBehavior0x01,,0%,
0x00402980,Ship_UpdateShipAiAvailabilityBehavior,,0%,
0x00402BD0,Ship_UpdateShipAiBehavior0x02,,0%,
0x00402E50,Ship_UpdateShipAiBehavior0x03,,0%,
0x004038B0,Ship_UpdateShipAiBehavior0x03CaptureVariant,,0%,
0x00403DE0,Ship_UpdateShipAiCombatState,,0%,
0x004048A0,Ship_UpdateShipAssistResponseBehavior,,0%,
0x00405120,Ship_ShouldShipPrioritizePlayerThreat,,0%,
0x004053C0,Mission_UpdateShipMissionStellarAttackDirective,,0%,
0x00405590,Ship_UpdateShipAiState,,0%,
0x00408150,Ship_ApplyShipAiControls,,0%,
0x0040C790,Stellar_SelectRandomAdjacentTravelStellar,,0%,
0x0040CC10,Stellar_FindNearestAdjacentTravelStellar,,0%,
0x0040CD80,Stellar_IsStellarAdjacentToCurrentSystem,src/game/targeting.cpp,100%,"NovaTargeting_IsStellarAdjacentToSystem: matches a stellar id against a system's nav list, preserving the empty-nav-list == adjacent quirk"
0x0040CE00,Weapon_SelectWeaponBankForCurrentTarget,,0%,
0x0040D220,Weapon_SelectGuidedWeaponBankForPrimaryTarget,,0%,
0x0040D470,Weapon_SelectDirectFireWeaponBankForPrimaryTarget,,0%,
0x0040D7E0,Weapon_SelectUnguidedWeaponBank,,0%,
0x0040D910,Weapon_SelectGeneralWeaponBank,,0%,
0x0040D9A0,Ship_LaunchShipFromCarrierBay,,0%,
0x0040DB70,NovaUi_DrawAiStateMnemonic,,0%,
0x0040DDC0,NovaUi_DrawAiControlModeMnemonic,,0%,
0x0040E020,Ship_AcquirePrimaryTargetForShip,,0%,
0x0040F6D0,Ship_IsShipEligibleForDistressCall,,0%,
0x0040F780,Ship_ShouldShipKeepPressingTarget,,0%,
0x0040FAA0,Ship_IsShipAcquirableAsTarget,,0%,
0x0040FC00,Ship_IsShipEligibleForCommAidInteraction,,0%,
0x0040FCA0,Ship_IsShipBrakingOnPlayerInAiState0x09,,0%,
0x0040FCE0,Ship_IsShipBrakingOnPlayerInAiState0x0F,,0%,
0x0040FD20,Government_IsShipEligibleForGovernmentAid,,0%,
0x00410060,Ship_AreAnyShipsEligibleForDistressCall,,0%,
0x004100A0,Ship_HasShipDistressResponder,,0%,
0x00410110,Ship_HasAnyDistressResponderForShip,,0%,
0x004101D0,Ship_CanShipRespondToDistressCall,,0%,
0x004102B0,Ship_IsShipLockedOnAttackerInAiState0x04,,0%,
0x004102E0,Government_PropagateHostilityFromAttack,,0%,
0x00410670,Ship_EnterShipAiState0x02_ClearPrimaryTarget,,0%,
0x004106B0,Ship_EnterShipAiState0x0B_SetRetreatThrottle,,0%,
0x00410700,Ship_SetShipHostileToPlayer,,0%,
0x004107E0,Ship_EnterShipAiState0x04_TargetRandomCombatCandidate,,0%,
0x00410900,Ship_EnterShipAiState0x04_TargetRandomRelativeContact,,0%,
0x00410B00,Ship_EnterShipAiState0x04_TargetRandomUnengagedShip,,0%,
0x00410C30,Ship_EnterShipAiState0x09_TargetPlayerAndBrake,,0%,
0x00410C70,Ship_EnterShipAiState0x0F_TargetPlayerAndBrake,,0%,
